Date,Open,High,Low,Close,Adj Close,Volume
2011-02-16,85500000.000000,90150000.000000,83900000.000000,89750000.000000,89750000.000000,0
2011-02-17,91000000.000000,93300000.000000,90600000.000000,92125000.000000,92125000.000000,0
2011-02-18,91275000.000000,95825000.000000,91250000.000000,93800000.000000,93800000.000000,0
2011-02-22,104950000.000000,118350000.000000,100675000.000000,116650000.000000,116650000.000000,0
2011-02-23,117050000.000000,135000000.000000,114450000.000000,126900000.000000,126900000.000000,0
2011-02-24,127400000.000000,134150000.000000,121875000.000000,124450000.000000,124450000.000000,0
2011-02-25,116850000.000000,125700000.000000,108000000.000000,108500000.000000,108500000.000000,0
2011-02-28,103100000.000000,103675000.000000,97950000.000000,99325000.000000,99325000.000000,0
2011-03-01,96850000.000000,114075000.000000,96700000.000000,113925000.000000,113925000.000000,0
2011-03-02,114025000.000000,117025000.000000,106875000.000000,114125000.000000,114125000.000000,0
2011-03-03,104075000.000000,106550000.000000,101875000.000000,102675000.000000,102675000.000000,0
2011-03-04,102075000.000000,112200000.000000,100825000.000000,107400000.000000,107400000.000000,0
2011-03-07,106475000.000000,120400000.000000,102900000.000000,113500000.000000,113500000.000000,0
2011-03-08,113025000.000000,119075000.000000,107175000.000000,108550000.000000,108550000.000000,0
2011-03-09,110625000.000000,117750000.000000,109850000.000000,111575000.000000,111575000.000000,0
2011-03-10,120250000.000000,124900000.000000,117350000.000000,123275000.000000,123275000.000000,0
2011-03-11,127000000.000000,128100000.000000,115000000.000000,116425000.000000,116425000.000000,0
2011-03-14,123750000.000000,125675000.000000,118025000.000000,118650000.000000,118650000.000000,0
2011-03-15,144850000.000000,145000000.000000,124800000.000000,129050000.000000,129050000.000000,0
2011-03-16,129625000.000000,161800000.000000,129300000.000000,150475008.000000,150475008.000000,0
2011-03-17,134175000.000000,143975008.000000,132800000.000000,141475008.000000,141475008.000000,0
2011-03-18,129325000.000000,136850000.000000,128100000.000000,132475000.000000,132475000.000000,0
2011-03-21,121500000.000000,122525000.000000,111875000.000000,112475000.000000,112475000.000000,0
2011-03-22,109850000.000000,113725000.000000,108725000.000000,111375000.000000,111375000.000000,0
2011-03-23,113150000.000000,116850000.000000,101925000.000000,102800000.000000,102800000.000000,0
2011-03-24,96425000.000000,100800000.000000,95250000.000000,97225000.000000,97225000.000000,0
2011-03-25,94600000.000000,97650000.000000,92025000.000000,97225000.000000,97225000.000000,0
2011-03-28,95625000.000000,99700000.000000,93350000.000000,99225000.000000,99225000.000000,0
