Date,Open,High,Low,Close,Adj Close,Volume
2019-04-15,56.400002,56.610001,56.240002,56.560001,56.560001,12198400
2019-04-16,56.619999,57.529999,56.610001,56.950001,56.950001,19718300
2019-04-17,57.180000,57.320000,56.290001,56.310001,56.310001,26093600
2019-04-18,56.630001,56.700001,56.110001,56.400002,56.400002,18332000
2019-04-22,56.160000,56.599998,56.099998,56.340000,56.340000,11951500
2019-04-23,56.430000,56.700001,56.200001,56.689999,56.689999,18796600
2019-04-24,56.639999,57.150002,56.580002,56.880001,56.880001,13212000
2019-04-25,56.459999,56.779999,56.009998,56.330002,56.330002,15526900
2019-04-26,56.020000,56.369999,55.680000,55.880001,55.880001,18010900
2019-04-29,55.669998,56.220001,55.549999,56.130001,56.130001,16259500
2019-04-30,56.000000,56.119999,55.529999,55.950001,55.950001,20846000
2019-05-01,56.000000,56.349998,55.509998,55.580002,55.580002,17648500
2019-05-02,55.480000,55.889999,54.820000,54.939999,54.939999,24220600
2019-05-03,54.639999,54.990002,54.180000,54.939999,54.939999,26887100
2019-05-06,53.860001,54.759998,53.560001,54.590000,54.590000,17025900
2019-05-07,53.860001,54.240002,52.939999,53.450001,53.450001,25289700
2019-05-08,53.169998,53.939999,53.130001,53.470001,53.470001,21525100
2019-05-09,52.820000,53.209999,52.230000,52.919998,52.919998,24322800
2019-05-10,52.610001,53.549999,51.950001,53.360001,53.360001,21795900
2019-05-13,51.830002,52.259998,51.060001,51.299999,51.299999,28867500
2019-05-14,51.450001,52.439999,51.400002,52.240002,52.240002,14954106
