Date,Open,High,Low,Close,Adj Close,Volume
1984-10-17,0.144531,0.148438,0.144531,0.144531,0.107605,9868800
1984-10-18,0.148438,0.156250,0.148438,0.148438,0.110513,5324800
1984-10-19,0.148438,0.148438,0.144531,0.144531,0.107605,3043200
1984-10-22,0.144531,0.148438,0.144531,0.144531,0.107605,2326400
1984-10-23,0.144531,0.144531,0.140625,0.140625,0.104697,787200
1984-10-24,0.144531,0.148438,0.144531,0.144531,0.107605,230400
1984-10-25,0.144531,0.148438,0.140625,0.140625,0.104697,1587200
1984-10-26,0.140625,0.144531,0.140625,0.140625,0.104697,758400
1984-10-29,0.140625,0.144531,0.140625,0.140625,0.104697,614400
1984-10-30,0.140625,0.148438,0.140625,0.140625,0.104697,192000
1984-10-31,0.144531,0.148438,0.144531,0.144531,0.107605,297600
1984-11-01,0.144531,0.144531,0.140625,0.140625,0.104697,352000
1984-11-02,0.140625,0.144531,0.140625,0.140625,0.104697,1638400
1984-11-05,0.140625,0.140625,0.136719,0.136719,0.101789,534400
1984-11-06,0.136719,0.140625,0.136719,0.136719,0.101789,544000
1984-11-07,0.136719,0.140625,0.136719,0.136719,0.101789,76800
1984-11-08,0.136719,0.140625,0.136719,0.136719,0.101789,44800
1984-11-09,0.136719,0.140625,0.136719,0.136719,0.101789,896000
1984-11-12,0.136719,0.140625,0.136719,0.136719,0.101789,300800
1984-11-13,0.136719,0.140625,0.136719,0.136719,0.101789,464000
1984-11-14,0.136719,0.140625,0.132813,0.132813,0.098881,1523200
1984-11-15,0.132813,0.136719,0.132813,0.132813,0.098881,156800
1984-11-16,0.132813,0.136719,0.125000,0.125000,0.093064,579200
1984-11-19,0.125000,0.136719,0.125000,0.125000,0.093064,358400
1984-11-20,0.125000,0.128906,0.121094,0.121094,0.090156,179200
1984-11-21,0.121094,0.128906,0.121094,0.121094,0.090156,905600
1984-11-23,0.121094,0.128906,0.121094,0.121094,0.090156,25600
1984-11-26,0.125000,0.128906,0.125000,0.125000,0.093064,166400
1984-11-27,0.128906,0.132813,0.128906,0.128906,0.095972,147200
1984-11-28,0.128906,0.132813,0.128906,0.128906,0.095972,492800
1984-11-29,0.128906,0.132813,0.128906,0.128906,0.095972,262400
1984-11-30,0.128906,0.132813,0.128906,0.128906,0.095972,556800
1984-12-03,0.128906,0.132813,0.125000,0.125000,0.093064,380800
1984-12-04,0.125000,0.128906,0.121094,0.121094,0.090156,217600
1984-12-05,0.121094,0.128906,0.121094,0.121094,0.090156,102400
1984-12-06,0.121094,0.125000,0.117188,0.117188,0.087248,630400
1984-12-07,0.117188,0.121094,0.117188,0.117188,0.087248,86400
1984-12-10,0.117188,0.121094,0.117188,0.117188,0.087248,2099200
1984-12-11,0.117188,0.121094,0.117188,0.117188,0.087248,188800
1984-12-12,0.117188,0.121094,0.117188,0.117188,0.087248,393600
1984-12-13,0.117188,0.121094,0.117188,0.117188,0.087248,102400
1984-12-14,0.117188,0.121094,0.117188,0.117188,0.087248,89600
1984-12-17,0.117188,0.121094,0.117188,0.117188,0.087248,102400
1984-12-18,0.117188,0.121094,0.117188,0.117188,0.087248,214400
1984-12-19,0.117188,0.121094,0.117188,0.117188,0.087248,102400
